"drug_name","gene_names","drug_name_lower","alias_asgard"
"Testosterone","AR;ESR1;NR3C2;CYP3A4;CYP3A5;CYP3A7;CYP3A43;CYP19A1;MAOA;CYP11A1;CYP1A1;CYP1B1;CYP2A13;CYP2B6;CYP2C19;CYP2C9;CYP2C8;ALB;SHBG;SLC22A8;SLC22A7;SLC10A1;ABCG2;SLCO1B3","testosterone","testosterone"
"Guanabenz","ADRA2A;ADRA2B;CYP1A2","guanabenz","guanabenz"
"Clofarabine","POLA1;RRM1;DCK;ABCG2","clofarabine","clofarabine"
"Clofibrate","PPARA;CYP1A1;CYP4A11;CYP3A4;GSTA2;CYP2E1;SERPINA7","clofibrate","clofibrate"
"Simvastatin","HMGCR;ITGAL;HDAC2;CYP3A4;CYP3A5;CYP2C8;CYP2C9;CYP2D6;CYP2B6;UGT1A1;UGT1A3;UGT2B7;CYP2C19;CES2;CES1;ABCB1;SLCO1A2;SLCO1B1;ABCC2;ABCB11;SLCO2B1;SLCO1B3","simvastatin","simvastatin"
"Mebendazole","TUBA1A;TUBB4B;CYP1A1;CYP3A4;CYP3A43;CYP3A5;CYP3A7","mebendazole","mebendazole"
"Mitotane","CYP11B1;ESR1;PGR;AR;FDX1;CYP3A4;SERPINA7;SHBG;SERPINA6;ABCB1","mitotane","mitotane"
"Estrone","ESR1;ESR2;AR;CYP19A1;SHBG;CYP3A4;CYP1B1;CYP2B6;CYP2C9;CYP2E1;CYP3A5;CYP1A2;CYP1A1;ALB;SLCO2B1;ABCB1;SLCO1A2;ABCG2;SLCO1B1;SLC22A8","estrone","estrone"
"Trazodone","HTR2A;HTR2C;SLC6A4;HTR1A;HRH1;ADRA1A;ADRA2A;CYP3A4;CYP3A5;CYP3A7;CYP2D6;ABCB1","trazodone","trazodone"
"Verapamil","CACNA1C;CACNA1B;CACNA1A;KCNJ11;CACNA1G;CACNA1H;KCNH2;SLC6A4;ADRA1A;ADRA1B;ADRA1D;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5;CACNG6;CACNG7;CACNG8;CACNA2D1;CACNA2D2;CACNA2D3;CACNA2D4;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;CACNA1E;CACNA1I;ABCB1;CYP3A4;CYP1A2;CYP2C8;CYP2C9;CYP2C18;CYP3A5;CYP2B6;CYP2C19;CYP2D6;CYP2E1;ALB;ORM1;SLC22A1;SLC22A4;SLC22A5;ABCC3;SLCO1B1;SLCO1A2;ABCC1;ABCC4;ABCC10;SLC47A1;SLC47A2","verapamil","verapamil"
"Trimethobenzamide","DRD2","trimethobenzamide","trimethobenzamide"
"Nilutamide","AR;CYP2C19;POR","nilutamide","nilutamide"
"Tamoxifen","ESR1;ESR2;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCI;PRKCQ;PRKCZ;SHBG;EBP;AR;KCNH2;NR1I2;ESRRG;MAPK8;CYP2D6;CYP3A4;CYP3A5;CYP3A7;CYP2C9;CYP2C19;CYP2B6;CYP1A1;CYP1B1;FMO1;FMO3;CYP2C8;CES1;CYP19A1;CYP2A6;CYP2E1;UGT1A10;SULT1A1;SULT2A1;CYP1A2;UGT2B7;UGT2B17;SULT1E1;ALB;SERPINA7;ABCB1;ABCG2;ABCC2;ABCB11;ABCA1","tamoxifen","tamoxifen"
"Phentolamine","ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;KCNJ11","phentolamine","phentolamine"
"Eplerenone","NR3C2;CYP11B2;CYP3A4;CYP3A5","eplerenone","eplerenone"
"Naltrexone","OPRM1;OPRK1;OPRD1;SIGMAR1;UGT1A1","naltrexone","naltrexone"
"Norethisterone","PGR;AR;NR3C1;CYP3A4;AKR1C4;HSD3B2;SRD5A1;SRD5A2;SRD5A3;AKR1D1;CYP2C19;CYP1A2;CYP2A6;ALB;SHBG;ABCB1","norethisterone","norethisterone"
"Imiquimod","TLR7;TLR8;CYP3A4","imiquimod","imiquimod"
"Risperidone","HTR2A;DRD2;ADRA1B;ADRA2B;ADRA1A;ADRA2C;HRH1;HTR2C;HTR1D;HTR1A;HTR7;DRD1;CYP2D6;CYP3A4;ALB;ORM1;ABCB1","risperidone","risperidone"
"Naftifine","SQLE","naftifine","naftifine"
"Meclizine","HRH1;NR1I3;CYP2D6;ALB","meclizine","meclizine"
"Riluzole","SCN5A;SLC7A11;CYP1A1;CYP1A2;ABCG2","riluzole","riluzole"
"Hydrocortisone","NR3C1;ANXA1;CYP3A4;CYP3A5;CYP3A7;CYP11B1;CYP11B2;CYP2C8;AKR1D1;SRD5A2;HSD11B2;HSD11B1;CYP2A6;CYP1B1;CYP2B6;CYP2C9;CYP2C19;SHBG;SERPINA6;ABCB1;SLCO1A2;SLC22A8","hydrocortisone","hydrocortisone"
"Scopolamine","CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA4;CHRNB2;SI;CYP3A4","scopolamine","scopolamine"
"Etodolac","PTGS2;PTGS1;RXRA;UGT1A3;UGT1A10;UGT2B7;CYP2C9;UGT1A9;ALB;SLC22A6","etodolac","etodolac"
"Tranylcypromine","MAOB;MAOA;CYP2D6;CYP2C9;CYP2C19;CYP1A2;CYP2A6;CYP3A4","tranylcypromine","tranylcypromine"
"Tretinoin","RARA;RARB;RARG;RXRA;RXRB;RXRG;CRABP1;RARRES1;ALDH1A1;ALDH1A2;GPRC5A;LCN1;OBP2A;RBP4;PDK4;CYP3A4;CYP3A5;CYP3A7;CYP2B6;CYP2C8;CYP2C9;CYP2A6;CYP2C18;CYP1A1;CYP4A11;UGT2B7;CYP2E1;CYP26A1;ALB;CRABP2","tretinoin","tretinoin"
"Hexachlorophene","SDHD;GLUD1;ESR1","hexachlorophene","hexachlorophene"
"Irinotecan","TOP1MT;TOP1;CYP3A4;CYP3A5;CYP2B6;CYP3A7;UGT1A1;UGT1A9;CES1;CES2;BCHE;ALB;SLC22A3;SLCO1B1;ABCC1;ABCG2;ABCB1;ABCC2","irinotecan","irinotecan"
